SubID,subject,correct,total_trials,trial_type,condition,condition_non_rec,probe_type,sub_idx
6581449,119,0,1,2,1,2,0.5,117
6581486,120,1,1,2,1,2,-0.5,118
6581486,120,1,1,1,1,2,0.5,118
6581486,120,1,1,2,1,2,0.5,118
6581500,121,0,1,2,1,2,-0.5,119
6581500,121,0,1,1,1,2,0.5,119
6581500,121,1,1,2,1,2,0.5,119
6582987,122,1,1,2,1,2,-0.5,120
6582987,122,0,1,1,1,2,0.5,120
6582987,122,1,1,2,1,2,0.5,120
6582986,123,0,1,2,1,2,-0.5,121
6582986,123,0,1,1,1,2,0.5,121
6582986,123,0,1,2,1,2,0.5,121
6583190,124,1,1,2,1,2,-0.5,122
6583190,124,0,1,1,1,2,0.5,122
6583190,124,1,1,2,1,2,0.5,122
6583966,125,1,1,2,1,2,-0.5,123
6583966,125,0,1,1,1,2,0.5,123
6583966,125,1,1,2,1,2,0.5,123
6576552,126,1,1,1,-1,1,-0.5,124
6576552,126,0,1,3,-1,1,-0.5,124
6576552,126,1,1,3,-1,1,0.5,124
6576609,127,1,1,1,-1,1,-0.5,125
6576609,127,1,1,3,-1,1,-0.5,125
6576609,127,1,1,3,-1,1,0.5,125
6576642,128,1,1,1,-1,1,-0.5,126
6576642,128,1,1,3,-1,1,-0.5,126
6576642,128,0,1,3,-1,1,0.5,126
6576935,129,1,1,1,-1,1,-0.5,127
6576935,129,0,1,3,-1,1,-0.5,127
6576935,129,1,1,3,-1,1,0.5,127
6577354,130,1,1,1,-1,1,-0.5,128
6577354,130,1,1,3,-1,1,-0.5,128
6577354,130,0,1,3,-1,1,0.5,128
6577335,131,1,1,1,-1,1,-0.5,129
6577335,131,1,1,3,-1,1,-0.5,129
6577335,131,1,1,3,-1,1,0.5,129
6577339,132,0,1,1,-1,1,-0.5,130
6577339,132,1,1,3,-1,1,-0.5,130
6577339,132,0,1,3,-1,1,0.5,130
6577733,133,1,1,1,-1,1,-0.5,131
6577733,133,0,1,3,-1,1,-0.5,131
6577733,133,1,1,3,-1,1,0.5,131
6581414,134,1,1,1,-1,1,-0.5,132
6581414,134,0,1,3,-1,1,-0.5,132
